Date,spec,label,sector_col,exclude_psu,Promoter_Group,group_display,n_stocks,group_mean_sector_residual,group_ss,group_r2_contribution,share_of_group_r2
2018-10-12,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Adani,Adani,2,0.10297345061756405,0.021207063064175805,0.06230487851255184,0.7021249399483692
2018-10-12,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Bajaj,Bajaj,3,0.0291865549512213,0.0025555649697619814,0.007508072404468119,0.08460982529727872
2018-10-12,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Birla,Birla,6,0.004088322132474689,0.00010028626715329434,0.00029463408830138064,0.0033202848074516942
2018-10-12,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Mahindra,Mahindra,5,-0.01380133579272103,0.0009523843483172133,0.002798039074981454,0.0315316081885749
2018-10-12,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Reliance_ADAG,Reliance (ADAG),3,-0.01915076241387371,0.0011002551030979142,0.0032324730833253137,0.036427323569169244
2018-10-12,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Reliance_RIL,Reliance (RIL),1,-0.056915779235693284,0.003239405926006175,0.009517149643111093,0.10725047991711964
2018-10-12,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Tata,Tata,9,-0.010796893709156048,0.001049156223901321,0.003082348124917027,0.03473553827203662
2018-10-19,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Adani,Adani,2,0.008596253001114499,0.00014779113131834005,0.0006410970233018638,0.08297688286501721
2018-10-19,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Bajaj,Bajaj,3,0.01192473887447019,0.0004265981916729017,0.0018505226151788482,0.23951226210336113
2018-10-19,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Birla,Birla,6,0.009399256381946736,0.0005300761232013987,0.0022993952456850683,0.29760963321732636
2018-10-19,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Mahindra,Mahindra,5,0.010303897298412816,0.0005308514976811947,0.0023027587105053674,0.2980449648695888
2018-10-19,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Reliance_ADAG,Reliance (ADAG),3,0.0016100670368083294,7.776947589050263e-06,3.3735298628815776e-05,0.004366343659377095
2018-10-19,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Reliance_RIL,Reliance (RIL),1,-0.011162249748624202,0.00012459581945066105,0.0005404790412871198,0.06995394529972974
2018-10-19,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Tata,Tata,9,0.0012212199672557052,1.342240387581623e-05,5.822448947769401e-05,0.007535967985599596
2018-10-26,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Adani,Adani,2,0.03261265904977176,0.0021271710605933196,0.013111729929896126,0.20540479034614334
2018-10-26,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Bajaj,Bajaj,3,0.024440126842634798,0.001791959400252234,0.011045509285413282,0.17303594042641088
2018-10-26,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Birla,Birla,6,-0.01897230996681624,0.0021596912728617293,0.013312182187086647,0.20854502081784862
2018-10-26,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Mahindra,Mahindra,5,-0.013806046705896163,0.0009530346282269316,0.005874437129501502,0.09202733227715401
2018-10-26,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Reliance_ADAG,Reliance (ADAG),3,-0.020097744620877,0.0012117580165379711,0.007469189548301238,0.11701028936893113
2018-10-26,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Reliance_RIL,Reliance (RIL),1,-0.03437540129240267,0.0011816682140137192,0.007283718162548249,0.11410474514940469
2018-10-26,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Tata,Tata,9,0.010169195265390972,0.0009307127911108515,0.005736846925672978,0.08987188161410752
2018-11-02,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Adani,Adani,2,0.09822035736924513,0.019294477203484452,0.03620459918923474,0.4311586701689917
2018-11-02,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Bajaj,Bajaj,3,-0.055332489015508225,0.009185053021954015,0.017235043980961543,0.20525123353236974
2018-11-02,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Birla,Birla,6,0.02042324297980144,0.0025026531228720525,0.004696035672161472,0.055924842169702366
2018-11-02,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Mahindra,Mahindra,5,0.04292130703242423,0.009211192986858147,0.017284093610147863,0.20583536299011396
2018-11-02,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Reliance_ADAG,Reliance (ADAG),3,-0.016404607528521162,0.0008073334444944397,0.0015148989766204646,0.01804085234547384
2018-11-02,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Reliance_RIL,Reliance (RIL),1,0.01086984527930003,0.00011815353639592116,0.000221706003375539,0.002640285149526051
2018-11-02,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Tata,Tata,9,-0.02008711741502772,0.0036314305744059886,0.006814099550007911,0.08114875364382221
2018-11-09,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Adani,Adani,2,-0.0063903102607235154,8.167213045661648e-05,0.0006472540137373806,0.03816699837665843
2018-11-09,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Bajaj,Bajaj,3,0.00738524229282947,0.00016362541117139127,0.0012967361514631874,0.07646538381750546
2018-11-09,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Birla,Birla,6,-0.005356979107138278,0.00017218335092589613,0.0013645580733900105,0.08046467795727609
2018-11-09,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Mahindra,Mahindra,5,-0.006761943596559179,0.00022861940601523844,0.0018118154544801775,0.10683836027629084
2018-11-09,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Reliance_ADAG,Reliance (ADAG),3,-0.02029574954906178,0.0012357523492747245,0.00979337337696038,0.5774914606124283
2018-11-09,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Reliance_RIL,Reliance (RIL),1,0.002882727559452767,8.310118182028506e-06,6.585792874360102e-05,0.0038834822281488147
2018-11-09,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Tata,Tata,9,-0.005267297257268413,0.0002496997835678461,0.0019788780608520347,0.11668963673169208
2018-11-16,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Adani,Adani,2,-0.009141989282224518,0.00016715193607261592,0.000648643600135392,0.012671969364370556
2018-11-16,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Bajaj,Bajaj,3,-0.008684248337065447,0.00022624850753947195,0.0008779715623030998,0.0171521444718967
2018-11-16,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Birla,Birla,6,0.01302326099737136,0.0010176319620339243,0.003948984827670605,0.07714778153389759
2018-11-16,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Mahindra,Mahindra,5,0.017006800353134722,0.0014461562912569167,0.005611900437167653,0.10963467519118755
2018-11-16,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Reliance_ADAG,Reliance (ADAG),3,-0.0303663099855222,0.002766338346410476,0.010734949928601184,0.2097191070641749
2018-11-16,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Reliance_RIL,Reliance (RIL),1,0.0268488258339207,0.0007208594486602075,0.002797340425464407,0.05464913577471698
2018-11-16,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Tata,Tata,9,0.027580784209499287,0.006846296918498687,0.02656748575668071,0.5190251865997556
2018-11-23,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Adani,Adani,2,-0.0018459604562011754,6.815140011716903e-06,8.745846183452829e-05,0.0010633951427808453
2018-11-23,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Bajaj,Bajaj,3,-0.0034101607738350366,3.488758951020953e-05,0.00044771125911302774,0.005443658261562633
2018-11-23,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Birla,Birla,6,-0.002215924936461233,2.9461939944184316e-05,0.0003780840812880783,0.00459707119438238
2018-11-23,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Mahindra,Mahindra,5,-0.01233659060602936,0.0007609573389038593,0.009765339856233011,0.11873539452785864
2018-11-23,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Reliance_ADAG,Reliance (ADAG),3,0.039414820425532446,0.004660584207530909,0.05980911989191265,0.7272106809674969
2018-11-23,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Reliance_RIL,Reliance (RIL),1,0.015872426243384464,0.00025193391485167985,0.003233059429299691,0.03931031510643131
2018-11-23,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Tata,Tata,9,-0.008590756771208156,0.000664209917118529,0.00852378345662066,0.1036394847994873
2018-11-30,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Adani,Adani,2,0.07059655208195745,0.009967746331721062,0.04414581840933514,0.268006212518661
2018-11-30,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Bajaj,Bajaj,3,0.03547053523576891,0.003774476609735771,0.016716653239198943,0.10148564647921746
2018-11-30,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Birla,Birla,6,-0.025509312703323208,0.003904350207575561,0.017291846073727312,0.10497760242440891
2018-11-30,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Mahindra,Mahindra,5,0.008328238045933143,0.0003467977447486415,0.0015359209348776706,0.009324469843731344
2018-11-30,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Reliance_ADAG,Reliance (ADAG),3,-0.07702344307929497,0.017797832351368177,0.0788242245454122,0.47853641944644965
2018-11-30,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Reliance_RIL,Reliance (RIL),1,0.0365918843831649,0.0013389660027109073,0.005930101754680487,0.0360012379062862
2018-11-30,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Tata,Tata,9,0.002625768143668883,6.205192509875698e-05,0.00027481969606728637,0.0016684113812452989
2018-12-07,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Adani,Adani,2,-0.012473457431955307,0.0003111742806136022,0.0013077365360753988,0.027357349518459886
2018-12-07,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Bajaj,Bajaj,3,0.010252968903164508,0.00031537011398777526,0.0013253698847951927,0.02772623244770495
2018-12-07,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Birla,Birla,6,-0.011067112716864965,0.0007348859033267654,0.0030884208801965343,0.06460858678247917
2018-12-07,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Mahindra,Mahindra,5,-0.03661598429108155,0.006703651528023655,0.02817266906193982,0.5893614907391038
2018-12-07,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Reliance_ADAG,Reliance (ADAG),3,-0.03260076287191361,0.0031884292194922226,0.013399646573612364,0.2803154952283228
2018-12-07,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Reliance_RIL,Reliance (RIL),1,0.007176322026682069,5.149959783064223e-05,0.00021643146581239742,0.004527663710300265
2018-12-07,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Tata,Tata,9,0.0027772931833380697,6.942021683594497e-05,0.00029174440033934287,0.006103181573629076
2018-12-14,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Adani,Adani,2,0.0004175630890423253,3.4871786666113775e-07,2.32666103238791e-06,5.323035726530769e-05
2018-12-14,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Bajaj,Bajaj,3,-0.007641621630346582,0.00017518314342414225,0.0011688296823983682,0.026740990935197023
2018-12-14,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Birla,Birla,6,0.009991175004015687,0.0005989414677652072,0.003996163967946833,0.0914259674028419
2018-12-14,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Mahindra,Mahindra,5,0.02485542002175648,0.0030889595222896647,0.020609674577181266,0.4715170476462347
2018-12-14,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Reliance_ADAG,Reliance (ADAG),3,-0.01763073377670062,0.0009325283205146764,0.006221870206174431,0.14234663722937224
2018-12-14,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Reliance_RIL,Reliance (RIL),1,-0.03113263551588223,0.0009692409941647717,0.0064668187888045695,0.14795067683098584
2018-12-14,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Tata,Tata,9,-0.009344675984338623,0.0007859067232704751,0.005243604423348755,0.11996544959810292
2018-12-21,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Adani,Adani,2,-0.01801315798080436,0.0006489477208828316,0.0067967524622372264,0.26164914416258456
2018-12-21,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Bajaj,Bajaj,3,0.008044721645217886,0.0001941526390471115,0.002033457218553923,0.07828037638297816
2018-12-21,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Birla,Birla,6,-0.0008973023935494527,4.830909512817461e-06,5.059651967252325e-05,0.0019477737556979483
2018-12-21,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Mahindra,Mahindra,5,0.006149816665906679,0.00018910122512131775,0.001980551246419202,0.0762436974827166
2018-12-21,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Reliance_ADAG,Reliance (ADAG),3,0.007381244027297437,0.00016344829017154227,0.0017118752912185238,0.06590069409603996
2018-12-21,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Reliance_RIL,Reliance (RIL),1,-0.023193129412136033,0.0005379212519280895,0.00563391699497484,0.21688439710116902
2018-12-21,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Tata,Tata,9,-0.009078785011502211,0.0007418190355656949,0.007769439962985731,0.2990939170188137
2018-12-28,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Adani,Adani,2,0.0011441201100873995,2.6180216526128063e-06,3.51781630405681e-05,0.0008531240037987372
2018-12-28,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Bajaj,Bajaj,3,7.15853470931345e-05,1.5373385755333615e-08,2.0657104575393525e-07,5.009662312931373e-06
2018-12-28,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Birla,Birla,6,-0.0017974923507653392,1.938587250635943e-05,0.0002604865330398539,0.006317194952628298
2018-12-28,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Mahindra,Mahindra,5,0.01996896530837128,0.001993797877434679,0.026790514407066625,0.6497107563128551
2018-12-28,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Reliance_ADAG,Reliance (ADAG),3,0.015730691665778406,0.0007423639808513706,0.009975089826996547,0.24191111291528986
2018-12-28,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Reliance_RIL,Reliance (RIL),1,0.016374101731558934,0.00026811120751544127,0.003602590437542375,0.08736830216457946
2018-12-28,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Tata,Tata,9,-0.0021719059506292177,4.245457912540746e-05,0.0005704590352802406,0.01383449998853563
2019-01-04,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Adani,Adani,2,0.003035687703981575,1.843079967220985e-05,0.00023017046506839913,0.005590692503297203
2019-01-04,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Bajaj,Bajaj,3,0.01603523369483047,0.0007713861589434792,0.009633348205670038,0.233987829755162
2019-01-04,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Birla,Birla,6,-0.0018141178725235997,1.9746141932457307e-05,0.0002465969329997809,0.005989680840451309
2019-01-04,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Mahindra,Mahindra,5,-0.009014082555911856,0.0004062684216239721,0.005073626386856722,0.12323512053165281
2019-01-04,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Reliance_ADAG,Reliance (ADAG),3,-0.025164332312362318,0.0018997308621810068,0.02372452328871553,0.5762534061661934
2019-01-04,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Reliance_RIL,Reliance (RIL),1,0.004340183796573097,1.883719538803566e-05,0.0002352456811510997,0.005713966236518081
2019-01-04,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Tata,Tata,9,0.004246487786845231,0.00016229392671443136,0.0020267850149747984,0.04922930396672515
2019-01-11,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Adani,Adani,2,-0.006785069452686158,9.207433495554968e-05,0.000958603097709625,0.062263407767200706
2019-01-11,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Bajaj,Bajaj,3,-0.008825213432222636,0.00023365317637284854,0.002432606858022229,0.15800323731501975
2019-01-11,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Birla,Birla,6,0.0005275666665216233,1.6699595257484262e-06,1.7386260516624558e-05,0.0011292763717119657
2019-01-11,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Mahindra,Mahindra,5,-0.0007676129886359815,2.9461485016133176e-06,3.067290229489593e-05,0.001992273368982079
2019-01-11,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Reliance_ADAG,Reliance (ADAG),3,0.019274930192262046,0.001114568801749725,0.011603983960172964,0.7537046216130241
2019-01-11,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Reliance_RIL,Reliance (RIL),1,-0.0013422326178110999,1.801588400316038e-06,1.875667331373528e-05,0.0012182877373123529
2019-01-11,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Tata,Tata,9,-0.0018877753840489575,3.20732631055907e-05,0.000333920732433397,0.021688895826748968
