Month_End,Ticker,In_Nifty200
2025-02-28,FEDERALBNK,True
2025-02-28,GODREJCP,True
2025-02-28,GODREJIND,True
2025-02-28,GODREJPROP,True
2025-02-28,GRASIM,True
2025-02-28,HAL,True
2025-02-28,HAVELLS,True
2025-02-28,HCLTECH,True
2025-02-28,HDFC,True
2025-02-28,HDFCAMC,True
2025-02-28,HDFCBANK,True
2025-02-28,HDFCLIFE,True
2025-02-28,HEROMOTOCO,True
2025-02-28,HINDALCO,True
2025-02-28,HINDCOPPER,True
2025-02-28,HINDPETRO,True
2025-02-28,HINDZINC,True
2025-02-28,HUDCO,True
2025-02-28,ICICIBANK,True
2025-02-28,ICICIGI,True
2025-02-28,IDBI,True
2025-02-28,IDFCFIRSTB,True
2025-02-28,IGL,True
2025-02-28,INDIANB,True
2025-02-28,INDIGO,True
2025-02-28,INDUSINDBK,True
2025-02-28,INDUSTOWER,True
2025-02-28,INFY,True
2025-02-28,IOB,True
2025-02-28,IOC,True
2025-02-28,IRB,True
2025-02-28,IRCTC,True
2025-02-28,IREDA,True
2025-02-28,IRFC,True
2025-02-28,ITC,True
2025-02-28,JINDALSTEL,True
2025-02-28,JIOFIN,True
2025-02-28,JSWENERGY,True
2025-02-28,JSWINFRA,True
2025-02-28,JSWSTEEL,True
2025-02-28,JUBLFOOD,True
2025-02-28,KALYANKJIL,True
2025-02-28,KOTAKBANK,True
2025-02-28,KPITTECH,True
2025-02-28,LICHSGFIN,True
2025-02-28,LICI,True
2025-02-28,LODHA,True
2025-02-28,LT,True
2025-02-28,LUPIN,True
2025-02-28,MARICO,True
2025-02-28,MARUTI,True
2025-02-28,MAZDOCK,True
2025-02-28,MFSL,True
2025-02-28,MGL,True
2025-02-28,MOTHERSON,True
2025-02-28,MPHASIS,True
2025-02-28,MRF,True
2025-02-28,MRPL,True
2025-02-28,NATCOPHARM,True
2025-02-28,NAUKRI,True
2025-02-28,NHPC,True
2025-02-28,NLCINDIA,True
2025-02-28,NMDC,True
2025-02-28,NTPC,True
2025-02-28,OBEROIRLTY,True
2025-02-28,OIL,True
2025-02-28,ONGC,True
2025-02-28,PATANJALI,True
2025-02-28,PETRONET,True
2025-02-28,PFC,True
2025-02-28,PFIZER,True
2025-02-28,PIDILITIND,True
2025-02-28,PIIND,True
2025-02-28,PNB,True
2025-02-28,POLYCAB,True
2025-02-28,POONAWALLA,True
2025-02-28,POWERGRID,True
2025-02-28,PRESTIGE,True
2025-02-28,RBLBANK,True
2025-02-28,RECLTD,True
2025-02-28,RELIANCE,True
2025-02-28,RVNL,True
2025-02-28,SAIL,True
2025-02-28,SANOFI,True
2025-02-28,SBICARD,True
2025-02-28,SBILIFE,True
2025-02-28,SBIN,True
2025-02-28,SHREECEM,True
2025-02-28,SIEMENS,True
2025-02-28,SJVN,True
2025-02-28,SOLARINDS,True
2025-02-28,SONACOMS,True
2025-02-28,SRF,True
2025-02-28,SUNDARMFIN,True
2025-02-28,SUNPHARMA,True
2025-02-28,SUPREMEIND,True
2025-02-28,SUZLON,True
2025-02-28,TATACHEM,True
2025-02-28,TATACOMM,True
2025-02-28,TATACONSUM,True
2025-02-28,TATAELXSI,True
2025-02-28,TATATECH,True
2025-02-28,TCS,True
2025-02-28,TECHM,True
2025-02-28,TIINDIA,True
2025-02-28,TITAN,True
2025-02-28,TORNTPHARM,True
2025-02-28,TORNTPOWER,True
2025-02-28,TRENT,True
2025-02-28,TVSMOTOR,True
2025-02-28,ULTRACEMCO,True
2025-02-28,UNIONBANK,True
2025-02-28,UPL,True
2025-02-28,VBL,True
2025-02-28,VEDL,True
2025-02-28,VOLTAS,True
2025-02-28,WIPRO,True
2025-02-28,YESBANK,True
2025-03-31,AARTIIND,True
2025-03-31,ABCAPITAL,True
2025-03-31,ABFRL,True
2025-03-31,ADANIGREEN,True
2025-03-31,ADANIPOWER,True
2025-03-31,AMBUJACEM,True
2025-03-31,APLAPOLLO,True
2025-03-31,APOLLOHOSP,True
2025-03-31,APOLLOTYRE,True
2025-03-31,ASIANPAINT,True
2025-03-31,ASTRAL,True
2025-03-31,ATGL,True
2025-03-31,AUBANK,True
2025-03-31,AUROPHARMA,True
2025-03-31,AXISBANK,True
2025-03-31,BAJAJ-AUTO,True
2025-03-31,BAJAJFINSV,True
2025-03-31,BAJAJHFL,True
2025-03-31,BAJAJHLDNG,True
2025-03-31,BAJFINANCE,True
2025-03-31,BANDHANBNK,True
2025-03-31,BANKBARODA,True
2025-03-31,BANKINDIA,True
2025-03-31,BDL,True
2025-03-31,BEL,True
2025-03-31,BHARATFORG,True
2025-03-31,BHARTIHEXA,True
2025-03-31,BHEL,True
2025-03-31,BIOCON,True
2025-03-31,BOSCHLTD,True
2025-03-31,BPCL,True
2025-03-31,CANBK,True
2025-03-31,CASTROLIND,True
2025-03-31,CENTRALBK,True
2025-03-31,CGPOWER,True
2025-03-31,CHOLAFIN,True
2025-03-31,CIPLA,True
2025-03-31,COALINDIA,True
2025-03-31,COCHINSHIP,True
2025-03-31,COFORGE,True
2025-03-31,COLPAL,True
2025-03-31,CONCOR,True
2025-03-31,CUB,True
2025-03-31,CUMMINSIND,True
2025-03-31,DABUR,True
2025-03-31,DHANI,True
2025-03-31,DIVISLAB,True
2025-03-31,DIXON,True
2025-03-31,DLF,True
2025-03-31,DMART,True
2025-03-31,DRREDDY,True
2025-03-31,EICHERMOT,True
2025-03-31,ENDURANCE,True
2025-03-31,ESCORTS,True
2025-03-31,EXIDEIND,True
2025-03-31,FEDERALBNK,True
2025-03-31,GLENMARK,True
2025-03-31,GODREJCP,True
2025-03-31,GODREJIND,True
2025-03-31,GODREJPROP,True
2025-03-31,GRASIM,True
2025-03-31,HAL,True
2025-03-31,HAVELLS,True
2025-03-31,HCLTECH,True
2025-03-31,HDFC,True
2025-03-31,HDFCAMC,True
2025-03-31,HDFCBANK,True
2025-03-31,HDFCLIFE,True
2025-03-31,HEROMOTOCO,True
2025-03-31,HINDALCO,True
2025-03-31,HINDCOPPER,True
2025-03-31,HINDPETRO,True
2025-03-31,HINDZINC,True
2025-03-31,HUDCO,True
2025-03-31,HYUNDAI,True
2025-03-31,ICICIBANK,True
2025-03-31,ICICIGI,True
2025-03-31,IDFCFIRSTB,True
2025-03-31,IGL,True
2025-03-31,INDIANB,True
2025-03-31,INDIGO,True
2025-03-31,INDUSINDBK,True
2025-03-31,INDUSTOWER,True
2025-03-31,INFY,True
2025-03-31,IOC,True
2025-03-31,IRB,True
2025-03-31,IRCTC,True
2025-03-31,IREDA,True
2025-03-31,IRFC,True
2025-03-31,ITC,True
2025-03-31,JINDALSTEL,True
2025-03-31,JIOFIN,True
2025-03-31,JSWENERGY,True
2025-03-31,JSWSTEEL,True
2025-03-31,JUBLFOOD,True
2025-03-31,KALYANKJIL,True
2025-03-31,KOTAKBANK,True
2025-03-31,KPITTECH,True
2025-03-31,LICHSGFIN,True
2025-03-31,LICI,True
2025-03-31,LODHA,True
2025-03-31,LT,True
2025-03-31,LUPIN,True
2025-03-31,MARICO,True
2025-03-31,MARUTI,True
2025-03-31,MAZDOCK,True
2025-03-31,MFSL,True
2025-03-31,MGL,True
2025-03-31,MOTHERSON,True
2025-03-31,MPHASIS,True
2025-03-31,MRF,True
2025-03-31,NATCOPHARM,True
2025-03-31,NATIONALUM,True
2025-03-31,NAUKRI,True
2025-03-31,NHPC,True
2025-03-31,NMDC,True
2025-03-31,NTPC,True
2025-03-31,NTPCGREEN,True
2025-03-31,OBEROIRLTY,True
2025-03-31,OIL,True
2025-03-31,OLAELEC,True
2025-03-31,ONGC,True
2025-03-31,PATANJALI,True
2025-03-31,PETRONET,True
2025-03-31,PFC,True
2025-03-31,PFIZER,True
2025-03-31,PIDILITIND,True
2025-03-31,PIIND,True
2025-03-31,PNB,True
2025-03-31,POLYCAB,True
2025-03-31,POWERGRID,True
2025-03-31,PREMIERENE,True
2025-03-31,PRESTIGE,True
2025-03-31,RBLBANK,True
2025-03-31,RECLTD,True
2025-03-31,RELIANCE,True
2025-03-31,RVNL,True
2025-03-31,SAIL,True
2025-03-31,SANOFI,True
2025-03-31,SBICARD,True
2025-03-31,SBILIFE,True
2025-03-31,SBIN,True
2025-03-31,SHREECEM,True
2025-03-31,SIEMENS,True
2025-03-31,SJVN,True
2025-03-31,SOLARINDS,True
2025-03-31,SONACOMS,True
2025-03-31,SRF,True
2025-03-31,SUNPHARMA,True
2025-03-31,SUPREMEIND,True
2025-03-31,SUZLON,True
2025-03-31,SWIGGY,True
2025-03-31,TATACOMM,True
2025-03-31,TATACONSUM,True
2025-03-31,TATAELXSI,True
2025-03-31,TATATECH,True
2025-03-31,TCS,True
2025-03-31,TECHM,True
2025-03-31,TIINDIA,True
2025-03-31,TITAN,True
2025-03-31,TORNTPHARM,True
2025-03-31,TORNTPOWER,True
2025-03-31,TRENT,True
2025-03-31,TVSMOTOR,True
2025-03-31,ULTRACEMCO,True
2025-03-31,UNIONBANK,True
2025-03-31,UPL,True
2025-03-31,VBL,True
2025-03-31,VEDL,True
2025-03-31,VMM,True
2025-03-31,VOLTAS,True
2025-03-31,WAAREEENER,True
2025-03-31,WIPRO,True
2025-03-31,YESBANK,True
2025-04-30,AARTIIND,True
2025-04-30,ABCAPITAL,True
2025-04-30,ABFRL,True
2025-04-30,ADANIGREEN,True
2025-04-30,ADANIPOWER,True
2025-04-30,AMBUJACEM,True
2025-04-30,APLAPOLLO,True
2025-04-30,APOLLOHOSP,True
2025-04-30,APOLLOTYRE,True
2025-04-30,ASIANPAINT,True
2025-04-30,ASTRAL,True
2025-04-30,ATGL,True
2025-04-30,AUBANK,True
2025-04-30,AUROPHARMA,True
2025-04-30,AXISBANK,True
2025-04-30,BAJAJ-AUTO,True
2025-04-30,BAJAJFINSV,True
2025-04-30,BAJAJHFL,True
2025-04-30,BAJAJHLDNG,True
2025-04-30,BAJFINANCE,True
2025-04-30,BANDHANBNK,True
2025-04-30,BANKBARODA,True
2025-04-30,BANKINDIA,True
2025-04-30,BDL,True
2025-04-30,BEL,True
2025-04-30,BHARATFORG,True
2025-04-30,BHARTIHEXA,True
2025-04-30,BHEL,True
2025-04-30,BIOCON,True
2025-04-30,BOSCHLTD,True
2025-04-30,BPCL,True
2025-04-30,CANBK,True
2025-04-30,CASTROLIND,True
2025-04-30,CENTRALBK,True
2025-04-30,CGPOWER,True
2025-04-30,CHOLAFIN,True
2025-04-30,CIPLA,True
2025-04-30,COALINDIA,True
2025-04-30,COCHINSHIP,True
2025-04-30,COFORGE,True
2025-04-30,COLPAL,True
2025-04-30,CONCOR,True
2025-04-30,CUB,True
2025-04-30,CUMMINSIND,True
2025-04-30,DABUR,True
2025-04-30,DHANI,True
2025-04-30,DIVISLAB,True
2025-04-30,DIXON,True
2025-04-30,DLF,True
2025-04-30,DMART,True
2025-04-30,DRREDDY,True
2025-04-30,EICHERMOT,True
2025-04-30,ENDURANCE,True
2025-04-30,ESCORTS,True
2025-04-30,EXIDEIND,True
