Date,Ticker,In_Nifty200
2023-06-23,DHANI,True
2023-06-23,DIVISLAB,True
2023-06-23,DIXON,True
2023-06-23,DLF,True
2023-06-23,DMART,True
2023-06-23,DRREDDY,True
2023-06-23,EICHERMOT,True
2023-06-23,ENDURANCE,True
2023-06-23,ESCORTS,True
2023-06-23,FEDERALBNK,True
2023-06-23,FLUOROCHEM,True
2023-06-23,FORTIS,True
2023-06-23,GAIL,True
2023-06-23,GLAND,True
2023-06-23,GODREJCP,True
2023-06-23,GODREJIND,True
2023-06-23,GODREJPROP,True
2023-06-23,GRASIM,True
2023-06-23,GUJGASLTD,True
2023-06-23,HAL,True
2023-06-23,HAVELLS,True
2023-06-23,HCLTECH,True
2023-06-23,HDFC,True
2023-06-23,HDFCAMC,True
2023-06-23,HDFCBANK,True
2023-06-23,HDFCLIFE,True
2023-06-23,HEROMOTOCO,True
2023-06-23,HINDALCO,True
2023-06-23,HINDCOPPER,True
2023-06-23,HINDPETRO,True
2023-06-23,HINDUNILVR,True
2023-06-23,HINDZINC,True
2023-06-23,ICICIBANK,True
2023-06-23,ICICIGI,True
2023-06-23,IDEA,True
2023-06-23,IDFCFIRSTB,True
2023-06-23,IGL,True
2023-06-23,INDHOTEL,True
2023-06-23,INDIANB,True
2023-06-23,INDIGO,True
2023-06-23,INDUSINDBK,True
2023-06-23,INDUSTOWER,True
